scenario,size,encrypt_ms,cipher_bytes,decrypt_ms,relay_ms,translate_ms,total_e2e_ms
baseline,large,0.0,2008.0,0.0,3.84,,4.14
baseline,medium,0.0,239.0,0.0,3.5200000000000005,,3.72
baseline,small,0.0,35.0,0.0,3.7,,3.8
e2ee,large,0.44000000000000006,2699.0,0.24000000000000005,4.82,,5.4799999999999995
e2ee,medium,0.38,340.04,0.2,4.659999999999999,,5.18
e2ee,small,0.36,68.0,0.26,3.8,,4.58
e2ee_translate,large,0.38,2699.0,0.42000000000000004,5.0600000000000005,886.68,892.54
e2ee_translate,medium,0.29454545454545455,340.0,0.18,4.0,203.32,207.8
e2ee_translate,small,0.44000000000000006,68.0,0.24,5.32,117.46,123.32000000000001
